iter	Passed	Remaining
674	12213	5880
675	12226	5859
676	12241	5840
677	12256	5820
678	12271	5801
679	12283	5780
680	12295	5759
681	12309	5739
682	12325	5720
683	12340	5701
684	12355	5681
685	12369	5661
686	12387	5643
687	12403	5624
688	12417	5605
689	12437	5588
690	12452	5568
691	12468	5549
692	12484	5530
693	12498	5510
694	12514	5492
695	12527	5471
696	12540	5451
697	12556	5432
698	12571	5413
699	12585	5393
700	12599	5374
701	12614	5354
702	12627	5334
703	12639	5314
704	12652	5294
705	12663	5273
706	12676	5253
707	12687	5232
708	12699	5212
709	12712	5192
710	12724	5171
711	12731	5149
712	12743	5129
713	12753	5108
714	12764	5088
715	12777	5068
716	12787	5047
717	12797	5026
718	12807	5005
719	12817	4984
720	12828	4964
721	12839	4943
722	12850	4923
723	12860	4902
724	12871	4882
725	12881	4861
726	12892	4841
727	12904	4821
728	12913	4800
729	12924	4780
730	12936	4760
731	12947	4740
732	12958	4720
733	12970	4700
734	12980	4679
735	12992	4660
736	13005	4641
737	13017	4621
738	13026	4600
739	13037	4580
740	13049	4561
741	13058	4540
742	13069	4520
743	13080	4500
744	13091	4480
745	13105	4462
746	13117	4442
747	13129	4423
748	13141	4403
749	13155	4385
750	13167	4365
751	13177	4345
752	13189	4326
753	13200	4306
754	13212	4287
755	13223	4267
756	13236	4249
757	13249	4229
758	13257	4209
759	13269	4190
760	13281	4171
761	13292	4151
762	13304	4132
763	13316	4113
764	13329	4094
765	13339	4074
766	13351	4055
767	13363	4036
768	13375	4017
769	13385	3998
770	13397	3979
771	13409	3960
772	13418	3940
773	13431	3921
774	13446	3903
775	13461	3885
776	13476	3867
777	13494	3850
778	13509	3832
779	13521	3813
780	13533	3795
781	13545	3776
782	13557	3757
783	13566	3737
784	13578	3718
785	13590	3700
786	13601	3681
787	13611	3662
788	13625	3643
789	13639	3625
790	13649	3606
791	13659	3587
792	13673	3569
793	13692	3552
794	13710	3535
795	13723	3517
796	13740	3499
797	13756	3482
798	13770	3464
799	13784	3446
800	13793	3426
801	13805	3408
802	13817	3389
803	13826	3370
804	13838	3352
805	13851	3333
806	13865	3316
807	13875	3297
808	13891	3279
809	13906	3261
810	13921	3244
811	13934	3226
812	13947	3208
813	13963	3190
814	13971	3171
815	13984	3153
816	13996	3135
817	14005	3116
818	14016	3097
819	14030	3079
820	14041	3061
821	14050	3042
822	14063	3024
823	14077	3006
824	14086	2988
825	14097	2969
826	14109	2951
827	14118	2932
828	14129	2914
829	14142	2896
830	14153	2878
831	14164	2860
832	14175	2841
833	14187	2823
834	14199	2805
835	14211	2787
836	14223	2769
837	14237	2752
838	14247	2734
839	14261	2716
840	14276	2699
841	14290	2681
842	14302	2663
843	14312	2645
844	14324	2627
845	14338	2610
846	14348	2591
847	14358	2573
848	14370	2555
849	14381	2537
850	14389	2519
851	14399	2501
852	14408	2482
853	14419	2465
854	14427	2446
855	14435	2428
856	14447	2410
